level,pos,word,gloss,example
B2,noun,procedure,the official way of doing something,What is the correct procedure for making a complaint?
B2,noun,regulation,an official rule controlling an activity,New safety regulations came into force last month.
B2,verb,achieve,to succeed in doing something by effort,She achieved her ambition of becoming a doctor.
B2,verb,adapt,to change in order to suit new conditions,Animals must adapt to survive in a changing climate.
B2,verb,adjust,to change something slightly to improve it,You can adjust the seat to make it more comfortable.
B2,verb,adopt,to formally accept or start using something,The company has adopted a more flexible approach.
B2,verb,anticipate,to expect something and prepare for it,We anticipate that sales will rise next year.
B2,verb,assess,to judge the value or quality of something,Teachers assess the students' progress every term.
B2,verb,assign,to give someone a task or duty,Each student was assigned a different topic.
B2,verb,ban,to officially forbid something,The government plans to ban smoking in public places.
B2,verb,boost,to increase or improve something,The new advertising campaign boosted sales considerably.
B2,verb,claim,to state that something is true,He claims that he never received the letter.
B2,verb,clarify,to make something clearer or easier to understand,Could you clarify what you mean by 'urgent'?
B2,verb,commit,to promise or dedicate yourself to something,The government has committed more money to health care.
B2,verb,comprise,to consist of; to be made up of,The team comprises experts from five countries.
B2,verb,conduct,to organise and carry out an activity,They conducted a survey of two thousand households.
B2,verb,consist,to be composed or made up of something,The course consists of six modules.
B2,verb,contribute,to give something to help achieve a result,Everyone contributed ideas to the discussion.
B2,verb,convince,to make someone believe something is true,She finally convinced him to see a doctor.
B2,verb,demonstrate,to show clearly by giving proof or examples,The study demonstrates the benefits of regular exercise.
B2,verb,deny,to state that something is not true,He denied stealing the money.
B2,verb,deserve,to have earned something by your actions,She deserves a holiday after all that work.
B2,verb,distinguish,to recognise the difference between things,It is difficult to distinguish between the twins.
B2,verb,emphasize,to give special importance to something,The report emphasizes the need for more research.
B2,verb,enable,to make something possible,The new software enables us to work much faster.
B2,verb,encounter,to meet or experience something unexpectedly,We encountered several problems during the project.
B2,verb,enhance,to improve the quality or value of something,Good lighting can enhance the appearance of a room.
B2,verb,ensure,to make certain that something happens,Please ensure that all windows are closed.
B2,verb,establish,to start or create something that lasts,The company was established in 1985.
B2,verb,evaluate,to judge the value or quality of something,We need to evaluate the results of the survey.
B2,verb,tend,to be likely to do something,People tend to drive more carefully in bad weather.
B2,verb,undergo,to experience or be subjected to something,The building is undergoing major repairs.
B2,verb,acquire,to gain or come to possess something,She acquired a good knowledge of French while working in Paris.
B2,verb,address,to deal with a problem or issue,The government must address the problem of unemployment.
B2,verb,analyse,to examine something carefully and in detail,Scientists analysed the data from the experiment.
B2,verb,arise,to begin to exist or happen,Problems often arise when communication is poor.
B2,verb,assume,to accept something as true without proof,I assumed that the meeting had been cancelled.
B2,verb,conclude,to decide something after careful thought,The report concluded that the policy had failed.
B2,verb,consult,to ask someone for advice or information,You should consult a lawyer before signing the contract.
B2,verb,define,to state the exact meaning of something,It is difficult to define what makes a good leader.
B2,verb,detect,to discover or notice something hidden,The tests detected a small amount of pollution in the water.
B2,verb,emerge,to appear or become known,New evidence emerged during the investigation.
B2,adjective,absolute,total and complete; not limited,What he said was absolute nonsense.
B2,adjective,abstract,based on ideas rather than physical things,The course covers some highly abstract concepts.
B2,adjective,adequate,good enough for a particular purpose,"The salary is adequate, but not generous."
B2,adjective,aggressive,behaving in an angry or violent way,His aggressive behaviour alarmed his colleagues.
B2,adjective,apparent,easy to see or understand; obvious,It soon became apparent that something was wrong.
B2,adjective,appropriate,suitable for a particular situation,Jeans are not appropriate for a formal dinner.
B2,adjective,artificial,"made by people, not natural",This drink contains no artificial colours.
B2,adjective,astonishing,very surprising and difficult to believe,The team achieved an astonishing victory.
B2,adjective,authentic,"real and genuine, not a copy",The restaurant serves authentic Italian food.
B2,adjective,awkward,difficult or embarrassing to deal with,There was an awkward silence during the meal.
B2,adjective,balanced,considering all sides fairly; stable,The report gives a balanced view of the situation.
B2,adjective,beneficial,producing good or helpful effects,Regular exercise is beneficial to your health.
B2,adjective,bold,brave and confident; not afraid of risk,It was a bold decision to change careers at fifty.
B2,adjective,brief,lasting only a short time,She gave a brief summary of the report.
B2,adjective,broad,wide; covering many different things,The course offers a broad range of subjects.
B2,adjective,capable,having the ability to do something well,She is a highly capable manager.
B2,adjective,casual,relaxed and informal,The office has a casual dress code on Fridays.
B2,adjective,challenging,difficult but in an interesting way,Teaching teenagers can be very challenging.
B2,adjective,commercial,related to buying and selling; for profit,The film was a huge commercial success.
B2,adjective,complex,consisting of many connected parts,The brain is an extremely complex organ.
B2,adjective,comprehensive,including everything that is needed,The report provides a comprehensive review of the data.
B2,adjective,compulsory,required by law or rules,Maths and English are compulsory subjects.
B2,adjective,essential,completely necessary and extremely important,Good communication is essential in any team.
B2,adjective,inevitable,certain to happen; unavoidable,Some job losses now seem inevitable.
B2,adjective,urban,relating to a town or city,Urban populations are growing faster than rural ones.
B2,adjective,accurate,correct in all details,The report must be accurate and up to date.
B2,adjective,considerable,"large in size, amount or importance",The project required considerable time and effort.
B2,adjective,distinct,clearly different or separate,There are two distinct types of learner.
B2,adjective,initial,happening at the beginning,My initial reaction was one of surprise.
B2,adjective,significant,important or large enough to be noticed,There has been a significant increase in sales.
B2,adverb,accurately,in a way that is correct in all details,The map accurately shows the position of the islands.
B2,adverb,additionally,as an extra thing; also,"Additionally, we offer free parking to all guests."
B2,adverb,adequately,well enough for a particular purpose,The problem was not adequately explained.
B2,adverb,apparently,according to what you have heard; seemingly,"Apparently, the meeting has been postponed."
B2,adverb,approximately,about; not exactly but close,The journey takes approximately three hours.
B2,adverb,barely,only just; hardly,She was so tired she could barely speak.
B2,adverb,briefly,for a short time,He spoke briefly about his time in India.
B2,adverb,broadly,"in a general way, without details",The two plans are broadly similar.
B2,adverb,consequently,as a result; therefore,He missed the train and consequently arrived late.
B2,adverb,currently,at the present time,She is currently studying for her final exams.
B2,adverb,firmly,in a strong or definite way,He firmly believes that he made the right choice.
B2,adverb,formerly,in earlier times; previously,The building was formerly a school.
B2,adverb,hence,for this reason; therefore,"The cost of transport is rising, hence the higher prices."
B2,adverb,increasingly,more and more over time,It is becoming increasingly difficult to find cheap housing.
B2,adverb,virtually,almost completely; nearly,The two products are virtually identical.
B2,adverb,considerably,by a notably large amount,House prices have risen considerably in recent years.
B2,adverb,essentially,in the most important respects; basically,The two plans are essentially the same.
B2,adverb,gradually,"slowly, over a period of time",The weather is gradually getting warmer.
B2,adverb,highly,to a great degree; very,She is a highly respected scientist.
B2,adverb,relatively,in comparison with other things,The exam was relatively easy this year.
C1,noun,abundance,a very large quantity of something,The region enjoys an abundance of natural resources.
C1,noun,accountability,the obligation to explain one's actions,The report calls for greater accountability in public spending.
C1,noun,acquisition,the act of obtaining or gaining something,The company announced the acquisition of a smaller rival.
C1,noun,advocacy,public support for a cause or policy,Her advocacy of prison reform influenced national policy.
C1,noun,alliance,a formal agreement between groups or nations,The two parties formed an alliance to contest the election.
C1,noun,ambiguity,the quality of having several possible meanings,The ambiguity of the clause led to conflicting interpretations.
C1,noun,aspiration,a strong desire to achieve something,She has a longstanding aspiration to become a surgeon.
C1,noun,assertion,a confident statement of fact or belief,His assertion that the data were flawed provoked debate.
C1,noun,autonomy,the right or condition of self-government,The region was granted considerable autonomy from central government.
C1,noun,betrayal,the act of breaking trust or loyalty,The disclosure of confidential files was seen as a betrayal.
C1,noun,breakthrough,a sudden important discovery or development,The treatment represents a major breakthrough in cancer research.
C1,noun,bureaucracy,a complex system of administrative rules,Excessive bureaucracy delayed the approval of the project.
C1,noun,catastrophe,a sudden event causing great damage,The earthquake was a catastrophe of unprecedented scale.
C1,noun,coalition,a temporary alliance of political parties,The coalition collapsed after months of internal disputes.
C1,noun,coherence,the quality of being logical and consistent,The argument lacks coherence and supporting evidence.
C1,noun,collaboration,the act of working jointly with others,The study was a collaboration between three universities.
C1,noun,compassion,sympathetic concern for others' suffering,The volunteers treated the refugees with genuine compassion.
C1,noun,competence,the ability to do something successfully,The job demands a high level of technical competence.
C1,noun,complexity,the state of being intricate or complicated,The complexity of the tax system frustrates most citizens.
C1,noun,compliance,"conformity with rules, laws or requests",All construction work must be carried out in compliance with safety regulations.
C1,noun,compromise,an agreement reached through mutual concessions,"After lengthy negotiations, both sides accepted a compromise."
C1,noun,conscience,an inner sense of right and wrong,He was troubled by his conscience after lying to her.
C1,noun,consensus,general agreement among a group,There is a broad scientific consensus on climate change.
C1,noun,consent,permission or agreement for something to happen,The surgery cannot proceed without the patient's consent.
C1,noun,constraint,a limitation or restriction on something,Budget constraints forced the council to cut services.
C1,noun,contempt,a feeling of complete disrespect or scorn,She spoke of the corrupt officials with undisguised contempt.
C1,noun,contradiction,a combination of statements that conflict,There is an obvious contradiction between his words and actions.
C1,noun,conviction,a firmly held belief or opinion,She spoke with conviction about the need for reform.
C1,noun,correlation,a mutual relationship between two variables,The study found a strong correlation between diet and health.
C1,noun,corruption,dishonest or fraudulent conduct by officials,The investigation exposed widespread corruption in the ministry.
C1,noun,credibility,the quality of being trusted and believed,The scandal seriously damaged the newspaper's credibility.
C1,noun,custody,the protective care or guardianship of someone,"After the divorce, she was granted custody of the children."
C1,noun,deficiency,a lack or shortage of something essential,Vitamin deficiency can lead to serious health problems.
C1,noun,deficit,the amount by which spending exceeds income,The government pledged to reduce the budget deficit.
C1,noun,dignity,the quality of deserving respect or honour,She bore her illness with remarkable courage and dignity.
C1,noun,allegation,an unproven claim or accusation,The minister resigned following allegations of financial misconduct.
C1,noun,aftermath,the consequences following a disastrous event,"In the aftermath of the war, millions faced starvation."
C1,noun,anomaly,something that deviates from the norm,The scientists struggled to explain the anomaly in the data.
C1,noun,dilemma,a difficult choice between two alternatives,The government faces a dilemma over healthcare funding.
C1,noun,discrepancy,an unexpected difference between two things,The audit revealed a significant discrepancy in the accounts.
C1,noun,escalation,a rapid increase in intensity or severity,Diplomats warned that escalation of the conflict was likely.
C1,noun,feasibility,the practicality of a proposed plan,Engineers are assessing the feasibility of the tunnel project.
C1,noun,hierarchy,a system organised by rank or status,She rose rapidly through the corporate hierarchy.
C1,noun,ideology,a system of political or economic beliefs,The party's ideology emphasises individual liberty and free markets.
C1,noun,infrastructure,basic physical systems serving a country,The government invested heavily in transport infrastructure.
C1,noun,integrity,honesty and strong moral principles,Her professional integrity has never been questioned.
C1,noun,intervention,deliberate action to alter a situation,Military intervention failed to stabilise the region.
C1,noun,legitimacy,lawfulness or validity of authority,Opposition parties challenged the legitimacy of the election.
C1,noun,mandate,official authority to carry out policy,The new government claimed a clear mandate for reform.
C1,noun,momentum,the driving force gained by movement,The campaign gathered momentum in the final weeks.
C1,verb,abolish,to formally end a law or institution,Parliament voted to abolish the outdated tax.
C1,verb,accelerate,to make something happen more quickly,The new measures should accelerate economic recovery.
C1,verb,accumulate,to gather gradually in increasing quantity,Evidence against the suspect continued to accumulate.
C1,verb,adhere,to stick firmly to rules or beliefs,All members must adhere to the code of conduct.
C1,verb,advocate,to publicly support a cause or policy,Many doctors advocate a ban on tobacco advertising.
C1,verb,alleviate,to make suffering or problems less severe,The aid programme aims to alleviate rural poverty.
C1,verb,articulate,to express thoughts clearly in words,She struggled to articulate her objections to the plan.
C1,verb,assert,to state something firmly and confidently,He asserted his innocence throughout the trial.
C1,verb,attain,to succeed in achieving a goal,Few athletes attain such a high standard.
C1,verb,eliminate,to completely remove or get rid of,The vaccination campaign eliminated the disease from the region.
C1,verb,breach,"to break a law, agreement or boundary",The company was fined for breaching data protection rules.
C1,verb,cease,to come to an end or stop,The factory ceased production after fifty years.
C1,verb,collaborate,to work jointly with others,The two laboratories collaborated on the research project.
C1,verb,combat,to fight against something harmful,New legislation was introduced to combat organised crime.
C1,verb,commemorate,to honour the memory of someone,A ceremony was held to commemorate the victims of the disaster.
C1,verb,commence,to begin or start formally,The inquiry will commence next month.
C1,verb,compel,to force someone to do something,The court can compel witnesses to testify.
C1,verb,compensate,to make amends for loss or damage,The airline compensated passengers for the delay.
C1,verb,conceive,to form an idea in the mind,It is difficult to conceive of a world without electricity.
C1,verb,condemn,to express strong disapproval of something,World leaders condemned the terrorist attack.
C1,verb,confront,to face a problem or person directly,The government must confront the crisis honestly.
C1,verb,deem,to consider or judge something formally,The proposal was deemed too risky to approve.
C1,verb,deteriorate,to become progressively worse in quality,Relations between the two countries deteriorated rapidly.
C1,verb,embark,to begin a new course of action,She embarked on a career in journalism.
C1,verb,endorse,to give official approval or support,The committee endorsed the findings of the report.
C1,verb,facilitate,to make a process easier or possible,The new software facilitates communication between departments.
C1,verb,flourish,to develop successfully and thrive,The arts flourished under the new patronage system.
C1,verb,grasp,to understand something fully or seize,She quickly grasped the significance of the discovery.
C1,verb,strive,to make great effort toward a goal,The company strives to exceed customer expectations.
C1,verb,yield,to produce a result or give way,The investigation yielded some surprising results.
C1,verb,allocate,to distribute resources for a purpose,The council allocated additional funds to primary schools.
C1,verb,avert,to prevent something bad from happening,Swift diplomatic action averted a potential crisis.
C1,verb,concede,to admit reluctantly that something is true,The minister conceded that mistakes had been made.
C1,verb,contemplate,to consider something carefully and deeply,The board is contemplating a merger with its rival.
C1,verb,deploy,to position resources for effective use,Troops were deployed along the disputed border.
C1,verb,enforce,to compel observance of laws or rules,The agency is responsible for enforcing environmental regulations.
C1,verb,foster,to encourage the development of something,The programme fosters cooperation between local businesses.
C1,verb,incur,to bring something unpleasant upon oneself,The company incurred heavy losses during the recession.
C1,verb,scrutinise,to examine something very carefully,Every claim in the report was carefully scrutinised.
C1,verb,undermine,to gradually weaken confidence or authority,Constant criticism undermined her confidence in the project.
C1,adjective,abrupt,sudden and unexpected in manner,The negotiations came to an abrupt end.
C1,adjective,absurd,completely ridiculous or illogical,It is absurd to blame one individual for the crisis.
C1,adjective,acute,"severe, intense or highly developed",The hospital is facing an acute shortage of nurses.
C1,adjective,adverse,unfavourable or harmful in effect,The drug can cause adverse side effects.
C1,adjective,aesthetic,concerned with beauty or artistic taste,The building was restored for aesthetic as well as practical reasons.
C1,adjective,alleged,claimed but not yet proven,The alleged offences took place over several years.
C1,adjective,ambiguous,having more than one possible meaning,His reply was deliberately ambiguous.
C1,adjective,anonymous,having an unknown or unnamed identity,The donation was made by an anonymous benefactor.
C1,adjective,assertive,confident in stating opinions or rights,She became more assertive after the management course.
C1,adjective,autonomous,having the freedom to govern itself,The region is largely autonomous in economic matters.
C1,adjective,bleak,offering little hope or encouragement,The economic outlook remains bleak for small businesses.
C1,adjective,blunt,direct and uncompromising in speech,Her blunt assessment of the proposal surprised everyone.
C1,adjective,brutal,"extremely harsh, violent or severe",The regime was notorious for its brutal repression of dissent.
C1,adjective,coherent,logical and clearly organised in thought,She presented a coherent argument for reforming the system.
C1,adjective,compelling,powerfully convincing or attention-grabbing,There is compelling evidence that the policy is failing.
C1,adjective,competent,having the necessary skill or knowledge,She is a highly competent and experienced surgeon.
C1,adjective,concise,expressing much in few words,The report gives a concise summary of the main findings.
C1,adjective,consecutive,following one after another in order,The team won five consecutive matches.
C1,adjective,credible,believable and worthy of trust,The opposition must offer a credible alternative to the government.
C1,adjective,crude,"rough, unrefined or lacking sophistication",The early estimates were crude but broadly accurate.
C1,adjective,cynical,distrustful of others' motives or sincerity,Voters have grown cynical about politicians' promises.
C1,adjective,profound,"very great, deep or intense",The war had a profound effect on an entire generation.
C1,adjective,substantial,"large in size, amount or importance",The project will require a substantial investment.
C1,adjective,subtle,"delicate, understated and not obvious",There are subtle differences between the two dialects.
C1,adjective,widespread,found or occurring over a large area,The floods caused widespread damage across the county.
C1,adjective,accountable,required to explain and justify actions,Senior officials must be held accountable for the failure.
C1,adjective,affluent,wealthy and enjoying a high standard of living,The suburb is one of the most affluent in the country.
C1,adjective,detrimental,causing harm or damage to something,Excessive regulation can be detrimental to innovation.
C1,adjective,imminent,about to happen very soon,The residents were warned that flooding was imminent.
C1,adjective,unprecedented,never having happened or existed before,The pandemic posed an unprecedented challenge to health services.
C1,adverb,accordingly,in a way appropriate to the circumstances,The rules have changed and we must act accordingly.
C1,adverb,allegedly,according to claims not yet proven,He allegedly accepted bribes from several contractors.
C1,adverb,arguably,possibly true and defensible by argument,She is arguably the finest novelist of her generation.
C1,adverb,collectively,as a group acting together,The staff collectively rejected the proposed pay cut.
C1,adverb,comparatively,in relation to something else being compared,The region remains comparatively prosperous despite the downturn.
C1,adverb,continually,repeatedly over a period of time,The software is continually updated to meet new threats.
C1,adverb,correspondingly,in a way that matches or parallels,"As wages rise, prices tend to increase correspondingly."
C1,adverb,crucially,in a way that is critically important,"Crucially, the witnesses gave conflicting accounts of the incident."
C1,adverb,distinctly,in a clear and unmistakable way,I distinctly remember locking the door before leaving.
C1,adverb,dramatically,in a sudden and striking manner,House prices have risen dramatically in the past decade.
C1,adverb,drastically,in an extreme and far-reaching way,The budget for research was drastically reduced.
C1,adverb,duly,in the proper or expected manner,The treaty was duly signed by both heads of state.
C1,adverb,earnestly,in a serious and sincere manner,The committee earnestly debated the proposal for several hours.
C1,adverb,nonetheless,in spite of what has been said,"The task was difficult; nonetheless, she completed it on time."
C1,adverb,thereby,by that means or as a result,"He resigned his post, thereby avoiding a formal inquiry."
C1,adverb,abruptly,suddenly and without warning,The meeting ended abruptly when the minister walked out.
C1,adverb,adversely,in a harmful or unfavourable way,The new tax will adversely affect small businesses.
C1,adverb,inadvertently,accidentally and without intention,He inadvertently revealed the location of the hideout.
C1,adverb,inherently,as a natural and inseparable quality,The system is inherently unfair to younger workers.
C1,adverb,overwhelmingly,to a very great or dominant degree,Voters overwhelmingly rejected the constitutional amendment.
C2,noun,aberration,a departure from what is normal,The outlier in the results was dismissed as an aberration.
C2,noun,acumen,keen and shrewd judgement in practice,Her business acumen transformed the fortunes of the firm.
C2,noun,adversity,a state of serious difficulty or misfortune,He showed remarkable courage in the face of adversity.
C2,noun,allegory,a story with a hidden moral meaning,The novel functions as an allegory of political oppression.
C2,noun,allure,the quality of being powerfully attractive,The allure of city life drew her away from the village.
C2,noun,ambivalence,the state of having mixed feelings,She viewed the promotion with considerable ambivalence.
C2,noun,animosity,strong hostility or active hatred,Decades of animosity divided the two communities.
C2,noun,antipathy,a deep-seated feeling of dislike,His antipathy towards modern technology was well known.
C2,noun,apathy,"lack of interest, concern or enthusiasm",Voter apathy reached record levels at the local elections.
C2,noun,apex,the highest point of something,"At the apex of his career, he commanded enormous influence."
C2,noun,archetype,the original model of which others are copies,The tragic hero is a classic archetype of Greek drama.
C2,noun,audacity,boldness bordering on impudence or recklessness,She had the audacity to challenge the chairman's authority.
C2,noun,aura,a distinctive atmosphere surrounding a person,An aura of mystery surrounded the reclusive author.
C2,noun,aversion,a strong feeling of dislike or opposition,He has a lifelong aversion to any form of confrontation.
C2,noun,bravado,bold behaviour intended to conceal fear,His confident manner was largely a show of bravado.
C2,noun,brevity,concise and exact use of words,The brevity of her speech surprised the assembled delegates.
C2,noun,candour,the quality of being open and honest,He answered the committee's questions with refreshing candour.
C2,noun,clout,"power and influence, especially political",The union still carries considerable clout in negotiations.
C2,noun,composure,calm self-control under pressure,She maintained her composure throughout the hostile interview.
C2,noun,conjecture,an opinion formed without firm evidence,The cause of the collapse remains a matter of conjecture.
C2,noun,connoisseur,an expert judge in matters of taste,She is a connoisseur of eighteenth-century porcelain.
C2,noun,dearth,a scarcity or lack of something,There is a dearth of reliable research on the subject.
C2,noun,decorum,behaviour in keeping with good taste,The debate was conducted with admirable decorum.
C2,noun,deference,humble respect shown to a superior,He touched his cap in deference to the magistrate.
C2,noun,demeanour,"outward behaviour, manner or bearing",Her calm demeanour reassured the anxious passengers.
C2,noun,derision,contemptuous ridicule or mockery,His proposal was greeted with howls of derision.
C2,noun,dexterity,skill and grace in physical movement,The surgeon's dexterity was admired by her colleagues.
C2,noun,dichotomy,a division into two contrasting parts,The essay explores the dichotomy between duty and desire.
C2,noun,discernment,the ability to judge people or things well,She read poetry with great sensitivity and discernment.
C2,noun,disdain,the feeling that something is unworthy,He regarded the tabloid press with open disdain.
C2,noun,disparity,a great and unfair difference,The report highlights the disparity in wealth between regions.
C2,noun,dissent,disagreement with an official or majority opinion,The regime tolerated no dissent of any kind.
C2,noun,duplicity,deceitfulness in speech or conduct,His duplicity was eventually exposed by the investigation.
C2,noun,eloquence,"fluent, forceful and persuasive expression",Her eloquence held the audience spellbound.
C2,noun,enigma,a person or thing that is mysterious,The artist remained an enigma even to his closest friends.
C2,noun,accolade,an award or mark of honour,The film received the festival's highest accolade.
C2,noun,acrimony,bitterness and ill will between people,The negotiations broke down amid considerable acrimony.
C2,noun,alacrity,brisk and cheerful readiness to act,She accepted the challenge with unexpected alacrity.
C2,noun,antithesis,the direct opposite of something,His ruthless pragmatism is the antithesis of idealism.
C2,noun,cacophony,a harsh discordant mixture of sounds,A cacophony of car horns filled the narrow street.
C2,noun,catharsis,the release of strong repressed emotions,"For many veterans, the memoir provided a form of catharsis."
C2,noun,debacle,a sudden and utter failure or collapse,The product launch was a debacle from start to finish.
C2,noun,epitome,a perfect example of a quality,The butler was the epitome of discretion and loyalty.
C2,noun,gravitas,dignity of manner that commands respect,The role requires an actor of considerable gravitas.
C2,noun,harbinger,a sign that announces something's approach,The falling sales figures were a harbinger of worse to come.
C2,noun,hubris,excessive pride leading to a downfall,His hubris blinded him to the risks of the venture.
C2,noun,impasse,a deadlock from which no progress is possible,The talks reached an impasse after three weeks.
C2,noun,malaise,a vague sense of unease or decline,A general malaise settled over the struggling economy.
C2,noun,nemesis,a long-standing agent of someone's downfall,The injury proved to be the champion's nemesis.
C2,noun,panacea,a supposed remedy for all problems,Technology alone is not a panacea for educational failure.
C2,verb,abate,to become less intense or widespread,The storm finally abated towards dawn.
C2,verb,acquiesce,to accept reluctantly without protest,She acquiesced to her parents' wishes and studied law.
C2,verb,admonish,to reprimand firmly but gently,The judge admonished the witness for evading the question.
C2,verb,allay,"to diminish fear, worry or suspicion",The minister sought to allay public fears about the vaccine.
C2,verb,allude,to refer to something indirectly,She alluded to the scandal without ever naming it.
C2,verb,ameliorate,to make something bad slightly better,Foreign aid did little to ameliorate the famine.
C2,verb,appease,to pacify by granting concessions,The government attempted to appease its critics with minor reforms.
C2,verb,ascertain,to find out something for certain,Investigators are still trying to ascertain the cause of the fire.
C2,verb,assuage,to relieve or ease an unpleasant feeling,Nothing could assuage her grief at the loss.
C2,verb,belie,to give a false impression of something,Her calm voice belied the turmoil she felt inside.
C2,verb,censure,to express severe formal disapproval,The senator was formally censured for his misconduct.
C2,verb,circumvent,to find a way around an obstacle,Companies found ingenious ways to circumvent the sanctions.
C2,verb,coerce,to compel through force or threats,The prisoners were coerced into signing false confessions.
C2,verb,concur,to agree with an opinion or decision,I concur entirely with the committee's conclusions.
C2,verb,condone,to accept or overlook wrong behaviour,The school does not condone bullying in any form.
C2,verb,confound,to surprise and confuse completely,The results confounded the expectations of the experts.
C2,verb,corroborate,to confirm with supporting evidence,Two independent witnesses corroborated her account of events.
C2,verb,covet,to desire something belonging to another,The award is coveted by chefs across the world.
C2,verb,debunk,to expose the falseness of a myth,The article debunks several popular myths about nutrition.
C2,verb,decry,to publicly denounce as worthless,Critics decried the decision as a betrayal of the fans.
C2,verb,delineate,to describe or mark out precisely,The treaty clearly delineates the border between the two states.
C2,verb,deplete,to reduce seriously in quantity,Years of overfishing have depleted stocks in the North Sea.
C2,verb,elicit,to draw out a response or information,The questionnaire was designed to elicit honest answers.
C2,verb,elucidate,to make something clear by explaining,The professor was asked to elucidate her theory.
C2,verb,exacerbate,to make a bad situation worse,The drought was exacerbated by years of poor land management.
C2,verb,fathom,to understand something deeply or fully,No one could fathom her reasons for resigning.
C2,verb,flout,to openly disregard a rule or convention,The company openly flouted environmental regulations.
C2,verb,juxtapose,to place side by side for contrast,The exhibition juxtaposes ancient and modern sculpture.
C2,verb,quell,to suppress or put an end to,Police were called in to quell the disturbance.
C2,verb,relinquish,to give up possession or control,He was forced to relinquish control of the company.
C2,verb,absolve,to declare free from blame or guilt,The inquiry absolved the pilot of any responsibility for the crash.
C2,verb,accede,to agree to a demand or request,The king reluctantly acceded to the rebels' demands.
C2,verb,beseech,to beg urgently and earnestly,She beseeched the court to show mercy on her son.
C2,verb,castigate,to criticise someone harshly and publicly,The press castigated the government for its sluggish response.
C2,verb,eschew,to deliberately avoid or abstain from,He eschews publicity and rarely gives interviews.
C2,verb,espouse,to adopt or support a cause,The candidate espoused a radical programme of land reform.
C2,verb,exhort,to urge someone strongly and earnestly,The captain exhorted his troops to hold the line.
C2,verb,extol,to praise someone or something enthusiastically,The brochure extols the virtues of island life.
C2,verb,lambaste,to criticise fiercely and at length,Reviewers lambasted the play for its pretentious dialogue.
C2,verb,vilify,to speak of someone as vile,She was vilified in the press for her controversial remarks.
C2,adjective,abhorrent,inspiring disgust and moral revulsion,Torture is abhorrent to every civilised society.
C2,adjective,abject,"extremely bad, hopeless or humiliating",The refugees lived in conditions of abject poverty.
C2,adjective,adamant,refusing to be persuaded or change one's mind,She was adamant that the meeting be postponed.
C2,adjective,aloof,"distant, detached and not friendly",He remained aloof from the office politics.
C2,adjective,arcane,mysterious and understood by very few,The tax code is full of arcane provisions.
C2,adjective,arduous,requiring great and prolonged effort,The expedition faced an arduous journey across the desert.
C2,adjective,astute,clever at judging situations and people,She made an astute observation about the market.
C2,adjective,audacious,showing a daring willingness to take risks,The raid was an audacious attack on enemy headquarters.
C2,adjective,banal,so lacking originality as to be boring,The conversation was disappointingly banal.
C2,adjective,belligerent,"hostile, aggressive and eager to fight",His belligerent tone made negotiation impossible.
C2,adjective,benign,"gentle, kind or medically harmless","Fortunately, the tumour proved to be benign."
C2,adjective,blatant,done openly and unashamedly,The referee missed a blatant foul on the striker.
C2,adjective,brazen,bold and shameless in behaviour,The thieves carried out a brazen daylight robbery.
C2,adjective,callous,showing cruel disregard for others' feelings,His callous remarks deeply offended the grieving family.
C2,adjective,candid,truthful and straightforward in speech,She gave a candid account of her struggles with addiction.
C2,adjective,caustic,severely critical and sharply sarcastic,His caustic wit made him many enemies.
C2,adjective,clandestine,"kept secret, often for illicit purposes",The two spies held a clandestine meeting in Vienna.
C2,adjective,cogent,"clear, logical and thoroughly convincing",She put forward a cogent case for electoral reform.
C2,adjective,complacent,smugly satisfied and unaware of danger,We cannot afford to be complacent about security.
C2,adjective,convoluted,extremely complex and difficult to follow,The plot of the novel is unnecessarily convoluted.
C2,adjective,copious,"existing in large, abundant quantities",She took copious notes during the lecture.
C2,adjective,cryptic,mysterious and deliberately obscure in meaning,He left a cryptic message on her answering machine.
C2,adjective,meticulous,showing great attention to detail,The restoration was carried out with meticulous care.
C2,adjective,ostentatious,designed to impress through showiness,He drove an ostentatious gold sports car.
C2,adjective,superfluous,unnecessary because more than enough,Further explanation would be entirely superfluous.
C2,adjective,abstruse,difficult to understand because of obscurity,The philosopher's abstruse arguments baffled his students.
C2,adjective,acerbic,sharp and bitter in tone or temper,Her acerbic reviews were feared throughout the theatre world.
C2,adjective,erudite,showing deep and extensive learning,The lecture was erudite yet surprisingly accessible.
C2,adjective,indefatigable,never tiring or giving up,She was an indefatigable campaigner for human rights.
C2,adjective,sardonic,"mocking in a scornful, cynical way",He raised a sardonic eyebrow at the suggestion.
C2,adverb,aptly,in a manner suitable to the circumstances,The novel is aptly titled 'A Season of Loss'.
C2,adverb,belatedly,later than should have been the case,The government belatedly acknowledged the scale of the crisis.
C2,adverb,blatantly,in an open and shameless manner,The regime blatantly ignored the ceasefire agreement.
C2,adverb,candidly,in an open and honest way,She spoke candidly about her time in prison.
C2,adverb,copiously,in large and abundant amounts,He wept copiously at his mother's funeral.
C2,adverb,deftly,"with quick, skilful, neat movements",The chef deftly filleted the fish in seconds.
C2,adverb,diligently,"with steady, careful and persistent effort",The students worked diligently on their research projects.
C2,adverb,doggedly,"with stubborn, tenacious determination",She doggedly pursued the story for over a year.
C2,adverb,eloquently,in a fluent and persuasive manner,He spoke eloquently on behalf of the displaced families.
